cell_type	PC_310	PC_161	PC_31	PCB_234	PCB_536	PC_292	PCB_594	PC_244	PC_142	PC_95	PC_201	PC_224	PCM_92	PC_301	PC_150	PC_102	PC_48	PCB_49	PC_330	PCB_714	PC_501	PC_497	PC_108	PC_160	PC_227	PCB_600	PC_284	PC_334	PC_66	PC_72	PC_83	PC_279
B cell naive	0	0.0169838683677286	0	0	0	0.00948966838201606	0	0.156611238142176	0	0.183626909282749	0	0.0277882706016196	0.158186539770532	0.061986915137075	0.0296737567699908	0.0851987927403742	0.0197257158343013	0	0	0	0	0.00107177959769487	0.00219444098056194	0.0317197307087384	0	0.00248295448553873	0.0261265285233939	0.00297865008063863	0.0999691433593736	0.00478359940804794	0.123248813953012	0.00128408644380735
B cell memory	0.00408771217049524	0	0.0162135634482806	0.00341367922124796	0.060642273193908	0.042594359509308	0.0201133298051085	0.0694556207529331	0.00101504682122069	0	0.0300103814580372	0.025996850577182	0	0	0	0	0	0.00434973805835159	0.0304063106316576	0	0.0666512686492649	0.00846073769477998	0.00830283418959707	0.0279306342469951	0.0312884264145961	0.00685662733744739	0.0688826564925347	0.0358239528208344	0	0.0786960674438884	0	0.0080140426527465
B cell plasma	6.78845055052538e-4	0.0767414695707766	0	0	0.0329024169044252	0	0.00350809100854198	0.00609651272467301	0.00768167998255102	0.0368285321982221	0	0	0.0528403282701636	0.108697438775405	0.0148302189865411	0	0.0345098922373079	0.0188138083810417	0.00949250532353415	0.00529180953787526	0.00513846796822184	0	0	0.118449706586231	0.0278372365248225	0	0.0175396993617063	0	0.0572117433910784	0.106514685047604	0.108748039402456	0
T cell CD8+	0.0704919107174624	0.174767462002392	0.0970329062215148	0.0169216053297861	0.0428246142825508	0.128280020356137	0.0191346571205636	0.297701191021864	0.199196534938245	0.276754668729933	0.0408895855399318	0.203290676850904	0.0882256151335796	0.0882907163641224	0.0282852078176247	0.148353583235389	0.0355488415496227	0.0125148025837512	7.5996173710632e-4	0.0164508847817956	0.106987588190774	0.0209837906045039	0.0895344582360568	0.0808298535006131	0.0616802594328002	0.0923922022335704	0.366835953541715	0.0742380480893257	0.238733963231439	0.070153453996393	0.206657294894368	0.0431882579956654
T cell CD4+ naive	0	0	0	0.0110821840892944	0.0301585468866526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026284554605213	0	0.00395552000169297	0	0	0	0	0	0	0	0	0	0
T cell CD4+ memory resting	0.00776409526211957	0.146368959410721	0.108063775466038	0	0.0555270319676293	0.178995754009603	0.0824020980931576	0.0882489729453475	0	0.452723984211185	0.0324174689149379	0.0295334197488434	0.228460239181025	0.273063003851653	0.0469283838954735	0.224900839810998	0.0793154400392822	0.0265886797663728	0.0254269948946675	0	0.0718639981281852	0	0.0185572965296748	0.166748510753274	0.00565829951821228	0.0111872184571579	0.249184691848753	0.17191471679353099	0.512421058262382	0.254718491742541	0.379197945555707	0.00876781831530473
T cell CD4+ memory activated	0	0.151414266146869	0.0664229199705534	0.00144744254905595	0	0	0	0	0.037053786659053	0	0	0.0152399944077415	0	0	0	0	0.00582650842151035	0	0.0335988126643327	0.00375699207698369	0	0	0	0	0.0604200013862131	8.18996157948544e-4	0.0669554352900471	0	0	0	0	5.75127465421938e-4
T cell follicular helper	0.0128922799745838	0.16131403077231601	0	6.77124008914252e-4	0	0.0449131611766569	0	0.181700367243508	0.0322819218954798	0.167225689161441	0	0.0287368374918332	0.0641298170144994	0.0312906933888653	0.00302115510069804	0.0740524461953521	0.211629563910052	0.0267067423370649	0.0219940468045241	6.58777194223176e-4	0.0187267309364467	0.0098506711306465	0.01675802135857	0.116937858311004	0	0.0205648378851165	0.115452087438644	0.0315874461700508	0.031434233569694	0.00394066675039736	0.142171804097255	0.0227005939867717
T cell regulatory (Tregs)	0.0213677711883233	0.0127235334739562	0.0345237835358945	0.00520238921220337	0	0.0170329625849375	0.00840723902205624	0	0	0.0834593592997866	0.00628679029630057	0.0696643130543587	0.014793018180184	0	0.00141850518442354	0.045580545448617	0.0588201274175327	0	0	0	0.0168428768473952	0.00679661825008933	0.0676286653234518	0.0218459673323848	0	0.0175639583301133	0.0421592608065374	0.0607975806384999	0.0260151033050153	0.00942211737027259	0.0155939425209636	0.0122676475099612
T cell gamma delta	0	0.0261846733999207	0	0	0	0.0024107189920522	0	0	0	0.018574712394044	0	0	0	0	0	0.0308013477052901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0471899189073012	0
NK cell resting	0.00510189703703097	0	0	0.0515490775097016	0	0	0	0	0	0	0	0	0.00396568570128298	0	0	0	0.00788280031350417	0.00100472328059966	0	0.00292020193240143	0	0	0	0	0	0	0	0	0	0.0034036766120779	0	0
NK cell activated	0	0.0326228188069409	0.00343300217663473	0	0.0779190234650537	0.0185291157474949	0.0225425904632564	0.196426487093474	0.0490608864952052	0.224599231061436	0.0397579614925926	0.0296234910542968	0.0178506437310943	0	0.0312565305386488	0.0517850764968227	0.0261175815054593	0	0.0258814125035649	0.0163087708377378	0.0499112191107896	0.0166855553026843	0.0503079181726841	0.0239867827200101	0.0186167417150957	0.0491490166420026	0.0298018149131397	0.0430325356514236	0.19244473733595	0.0281124046401649	0.211502901955018	0.00452557394931773
Monocyte	0.00940373427152266	0	0	0.00486995560041674	0	0	0	0.0523330019228275	0	0.109085975204567	0.00521844774007524	0.0173197873640937	0	0.00304511832460034	0	0.052346583605429	0	0.0102301242127574	0	0	0	0	0	0.00748530637857941	0	0.0136088996273917	0.0565258669686078	0.0302438819938668	0.0105587777384555	0	0.0691638922362157	0
Macrophage M0	0.191138467342992	0.017445807610932	0.255628180085012	0.433660315363976	0.22751575537006	0.0231179675903528	0.543095945733113	0.120935010895131	0.0646661045229105	0.0747549681286494	0.131910576492401	0	0.435242162942881	0.00504228532582715	0.425496334113961	0.538069139314043	0.170783342330886	0.00145035265123813	0.00548976457484298	0.0845168354886428	0.255116406510315	0.175647832117578	0.707484245565671	0.145601135427672	0.167111861625253	0.0388322229835839	0.298492089569988	0.153951048630919	0.038463737419961	0.11868880823755	0	0.314091452639089
Macrophage M1	0.011394720343626	0.235043543288175	0.10998932428632	0.00364279853346655	0.00587823717411076	0.101747789748905	0	0.0822148211192827	0.0709066524918741	0.169431290257623	0.00428339402058857	0.0313432490075245	0.0265674485523739	0.0148848769924064	0.00707040809975234	0.0244144606468582	0.0200478154150921	0	7.95910193520743e-4	0	0.0623323956245697	0.00349053946103482	0.024625705066781	0.0417474599180684	0.033355274737569	0.004741342890938	0.215528015768283	0.0341149992704474	0.0688605822441632	0.0233088301127646	0.1495930924363	0.0130518514335269
Macrophage M2	0.185208249565588	0.150888909242458	0.427885331531257	0.165540857409616	0.176866179561084	0.465164728271715	0.239304930461169	0.574687733491498	0.309017652234549	0.555953793707212	0.148027716255873	0.18565260090782	0.401125489186461	0.0344792222842745	0.477961489030594	0.751694091605151	0.0892511905620345	0.044386625439672	0.184990319446906	0.089690172987975	0.267402833447768	0.0932944485926586	0.159624123077029	0.129589411224012	0.244234598453565	0.0675699595549406	0.259865333250509	0.393279800608818	0.509989972554895	0.574286307432589	0.48277896914663	0.051733925145408
