cell_type	PC_310	PC_161	PC_31	PCB_234	PCB_536	PC_292	PCB_594	PC_244	PC_142	PC_95	PC_201	PC_224	PCM_92	PC_301	PC_150	PC_102	PC_48	PCB_49	PC_330	PCB_714	PC_501	PC_497	PC_108	PC_160	PC_227	PCB_600	PC_284	PC_334	PC_66	PC_72	PC_83	PC_279
B cell naive	0	0.0129374509449433	0	0	0	0.00801750172971906	0	0.0764342413236407	0	0.072195547852946	0	0.0369439126988351	0.100222612351517	0.0883983072244685	0.0262739502967594	0.0410026243368658	0.0242920479640848	0	0	0	0	0.00298975574278035	0.00186351911893974	0.0323861857846343	0	0.00741237787959834	0.0139795301391728	0.00226373186532339	0.0511800534955036	0.00353128430966788	0.0544895920169931	0.00255858607879297
B cell memory	0.00720289381920895	0	0.0129534020942235	0.00479509772650129	0.0794484624689356	0.0359865421313702	0.0213936108347012	0.0338978718314805	0.00122781380595281	0	0.0668800598845727	0.0345622580093954	0	0	0	0	0	0.0296211536716661	0.0785660214514991	0	0.071221213418895	0.023601437427556	0.00705076618179933	0.028517477594999	0.0474923278002081	0.0204691278477934	0.0368570654781573	0.0272256966568485	0	0.0580939507036546	0	0.0159682535899791
B cell plasma	0.00119618227685686	0.0584577657173377	0	0	0.0431060099975127	0	0.00373139278959171	0.00297540796151086	0.00929185978253197	0.0144796646039301	0	0	0.0334781691566786	0.155011256264857	0.0131310787360935	0	0.042498632977685	0.12811960208365	0.024527420834173	0.0223763162969017	0.00549078706568505	0	0	0.120938422802571	0.0422538079918284	0	0.00938497265870787	0	0.0292900387952746	0.0786298358146401	0.0480786476529247	0
T cell CD8+	0.124212695716666	0.133129003208977	0.0775219003933188	0.0237692958203455	0.0561052477319678	0.1083794758353	0.0203526423451184	0.145293306833084	0.240950713387793	0.108810059527017	0.0911250639512816	0.270270616179662	0.0558973073046138	0.12590963517002	0.0250444913360396	0.0713963900986829	0.0437780900447444	0.0852241871880311	0.00196364402321304	0.0695622543870214	0.114323193033355	0.058534803797391	0.0760326553344249	0.0825281486924623	0.0936237272200397	0.275818956840404	0.196283033319056	0.0564198648816061	0.122221883661195	0.0517877376917652	0.0913653553730964	0.0860540785302512
T cell CD4+ naive	0	0	0	0.0155668275450373	0.0395112197192924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111143740786556	0	0.0110340210488975	0	0	0	0	0	0	0	0	0	0
T cell CD4+ memory resting	0.0136809910881018	0.111496461891847	0.0863347246209422	0	0.0727468988701227	0.151227493903161	0.0876472685353246	0.0430699825547934	0	0.177994914764736	0.072244408668010393	0.0392640512445467	0.144746082836058	0.389409720627915	0.0415516658552599	0.108235391033259	0.0976762764865703	0.181065470775708	0.0657001058280874	0	0.0767913537363553	0	0.0157588548451312	0.170252020679321	0.00858866508497009	0.0333972656804781	0.133331334348572	0.130652749395835	0.262338320533706	0.188034853369914	0.167647384865626	0.0174701773319946
T cell CD4+ memory activated	0	0.115339721094511	0.0530668531563461	0.0020331812177953	0	0	0	0	0.0448207411438449	0	0	0.0202612473083345	0	0	0	0	0.00717529458638714	0	0.0868150387762766	0.0158863697640364	0	0	0	0	0.0917107966217324	0.00244495380000357	0.0358258666007059	0	0	0	0	0.00114596111006123
T cell follicular helper	0.0227172853349874	0.122880860511935	0	9.51136760447335e-4	0	0.0379456196913487	0	0.0886790110545986	0.0390486316072534	0.0657471733922543	0	0.0382050121347608	0.0406308766861038	0.0446230357058236	0.00267501279227362	0.0356383527854276	0.26061997244134	0.181869461614336	0.0568298066142368	0.00278562687519589	0.0200107293933348	0.0274786911846735	0.0142309105024546	0.119394809473401	0	0.0613923252822292	0.0617749860848822	0.0240060116171821	0.0160930233232437	0.00290902591924743	0.0628556442298324	0.0452317085309868
T cell regulatory (Tregs)	0.0376518161267696	0.00969214354477874	0.0275818731262188	0.00730764757524333	0	0.0143905773615626	0.00894238803693774	0	0	0.0328132417609122	0.0140105153973552	0.0926172174080722	0.00937244678802765	0	0.00125598302230915	0.0219360148423022	0.0724364767536403	0	0	0	0.0179977088335547	0.0189593350054377	0.0574302576077289	0.0223049673141379	0	0.0524337828029382	0.0225581694315994	0.0462053000184676	0.0133186534774572	0.00695546854895826	0.00689424537770965	0.0244437064886848
T cell gamma delta	0	0.01994615833602	0	0	0	0.00203673541693761	0	0	0	0.00730291405947491	0	0	0	0	0	0.0148234035765944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208631575923656	0
NK cell resting	0.00898997314427317	0	0	0.07240951722454	0	0	0	0	0	0	0	0	0.00251254867401607	0	0	0	0.00970760021666552	0.00684203561062743	0	0.0123480185034162	0	0	0	0	0	0	0	0	0	0.00251261629374584	0	0
NK cell activated	0	0.0248504115118161	0.00274270722325449	0	0.102083023695116	0.0156546268610647	0.0239775020968664	0.0958661057466881	0.0593446849069041	0.088304402645381	0.0886031671817023	0.0393837991228168	0.0113096736895676	0	0.0276753811857121	0.0249219967743612	0.0321635750999342	0	0.0668742628654559	0.0689613282690883	0.0533333822495213	0.0465447699274843	0.0427214804040189	0.0244907628213846	0.0282581293283792	0.146724833613753	0.0159460668265684	0.0327041174903319	0.0985237206282265	0.020752760619092	0.0935076490255944	0.0090173605999143
Monocyte	0.0165701733969268	0	0	0.00684068757321129	0	0	0	0.0255411638756639	0	0.042888712627841503	0.0116296454894703	0.0230262876562088	0	0.00434258269826172	0	0.0251922267188961	0	0.0696658229349001	0	0	0	0	0	0.0076425782191397	0	0.0406267239900153	0.0302453140769532	0.022984921876395	0.0054056560988888	0	0.0305780814385401	0
Macrophage M0	0.336802110230552	0.0132893328701379	0.204227442894849	0.609150262078649	0.298072219255554	0.0195315934848153	0.577665827662571	0.0590224297878544	0.0782209591227852	0.0293909857757671	0.293971180191633	0	0.275757385166513	0.0071907028501133	0.376746012330645	0.25895022777828	0.21031820483566	0.00987671399613289	0.0141848501969106	0.357377836403843	0.272608464969303	0.48997397964087003	0.600795569185312	0.148660323308332	0.253657093726744	0.115926051941582	0.159714259730755	0.117000616068015	0.0196918376274756	0.0876168530243784	0	0.625837942660191
Macrophage M1	0.0200784588815054	0.179044269855178	0.0878730914457759	0.00511693508200865	0.00770117742812048	0.0859632863307314	0	0.0401250098802385	0.0857696069218983	0.066614337034587	0.00954581830313464	0.0416701806180175	0.0168323999077036	0.0212270271308625	0.00626033139081889	0.0117496613049534	0.0246887108041818	0	0.00205653024120962	0	0.0666062168306145	0.00973694631011376	0.0209121469275361	0.0426246050244893	0.0506295721207518	0.014154357387165	0.11532264569979	0.0259269161678227	0.0352537609562035	0.0172067305459235	0.0661366735628139	0.0260062595795974
Macrophage M2	0.326352566037168	0.11493953080616	0.341847784863868	0.232530515482277	0.231715357766212	0.393002037941652	0.254537493429417	0.28047681270196	0.373791761881898	0.218581192018062	0.329889259875366	0.2468211706507	0.254142005162797	0.0491701333677605	0.423200085647895	0.361759004593522	0.109912067080196	0.302267179190433	0.477991347981996	0.379253195932025	0.285737310868287	0.260247175864637	0.13555279355103	0.132312180899632	0.370720772473806	0.201716977273438	0.139046228627306	0.298887077207583	0.261093705521711	0.42394190100491	0.213441640689651	0.103081612080485
Myeloid dendritic cell resting	0	0.0242875900610968	0.0404800156451464	0	0	0.0447257933999215	0	0.0339973782375913	0.0265777519377026	0	2.42257086375503e-4	0.00820176409917594	0.0363825318222471	0	0	0	0	0	0.0193778537092693	0	0	0	0	0.032371218153289	0	0	0.00483787287282407	0.0119325216337704	0.0295979258084465	0	0.0888457359725468	0
Myeloid dendritic cell activated	0	0.00566899015063919	0	0	0	0	0	0	0	0.018923828750573	0	0	0	0.0116279829834057	0.022252551603915	0.0054907621463957	8.87136040640729e-4	0	0.0299697011099515	0.00727239791590522	0	0	0	0	0	0	0	0	0.00374665259133797	0	0	0
Mast cell activated	0	0	0	0.00411042318281424	0.0214336001634805	0	0.00175187426947197	0	0	0.0494708432361672	0	0	0.0187159604541561	0	0.02234622308442	0.0101334016775739	0	0	0.0725130692318502	0.0530622815739112	0	0	0	0.011532640172444	0.0121523826315043	0	0	0	0	0.0433893742407572	0	0
Mast cell resting	0.0845448539469836	0.0344399163428385	0.0653371899619343	0	0	0.0632831812226436	0	0.0278208787275859	0.0153759210210493	0	0.021655732123339	0.102715451257015	0	0.0946157281043992	0	0.00786314416132704	0.0638459146682698	0	0	0	0.0158796396010935	0.0508990840501584	0.027651046341624	0.0204724796866793	0	0.0274822656606027	0.024892654104949	0.182815153212292	0	0.00781722036877582	0.0552961922023064	0.0355972875190835
Eosinophil	0	4.37150314875447e-4	0	0.0154184727311304	0.0480767829036857	0.0168147645343811	0	0.0254345493292776	0.025579554480386	0	0	0	0	0.00847388787211337	0	0	0	0.0054483729345157	0	0	0	0	0	0.00357117937308301	0	0	0	0.0122339168956073	0.0522447674813313	4.34849434391024e-4	0	0.0075870658999784
Neutrophil	0	0.0191632428369086	3.30145741224781e-5	0	0	0.00304077015539061	0	0.0213658501540315	0	0.00648218195035087	2.02891847760175e-4	0.00605703161245939	0	0	0.0115872327178581	9.07398171558321e-4	0	0	0.00263034713587116	0	0	0	0	0	9.12725000035317e-4	0	0	0.00874140501292139	0	0.00638553811017825	0	0
