cell_type	PC_310	PC_161	PC_31	PCB_234	PCB_536	PC_292	PCB_594	PC_244	PC_142	PC_95	PC_201	PC_224	PCM_92	PC_301	PC_150	PC_102	PC_48	PCB_49	PC_330	PCB_714	PC_501	PC_497	PC_108	PC_160	PC_227	PCB_600	PC_284	PC_334	PC_66	PC_72	PC_83	PC_279
T cell	0.8163896444444445	2.4634632666666687	2.3911927277777805	1.2599740500000007	3.3083082611111116	1.9676715277777779	1.5041223944444446	2.345941177777777	1.6960804277777777	3.261268361111113	0.9342021111111111	1.6208245499999998	1.8868258166666667	1.6658908333333329	1.237489272222222	3.1990688833333287	3.3861218111111087	1.3641720666666646	0.6669662888888884	0.4882869444444444	1.4076422	0.9678485333333334	1.8094760777777774	1.347912133333333	1.9235364722222201	0.8125323333333331	3.107636761111111	1.3282464277777781	3.1883463722222216	1.4909155333333337	5.959342694444443	1.3099879722222227
T cell CD8+	0.6064875	0.785506583333333	1.19082991666667	2.76869891666667	0.207203833333333	0.638048666666667	0.582851	4.66157225	0.583688666666667	2.59807725	0.0778096666666667	0.122610916666667	0.761956166666667	1.80027816666667	0.810824416666667	1.967535	0.215275166666667	0.42865375	0.1093385	0	0.753945	7.030086	9.34309841666667	0.449488166666667	3.24787108333333	1.08168841666667	4.55764075	0.378133416666667	1.610221	3.47985141666667	2.16411033333333	1.55404233333333
cytotoxicity score	0.46826651190476143	1.7925907023809524	2.3320920952380897	0.5492140476190472	0.5531997857142862	0.9178249285714276	2.0144303571428614	1.993743023809524	1.5861072142857142	3.004989464285715	0.41077510714285725	0.6089881190476191	1.0190342023809529	0.8874829880952371	0.6787938333333328	2.4716749047619055	2.594599797619043	0.1255691666666667	2.7296828571428575	0.18170011904761899	0.6597157142857143	0.13976185714285713	1.3141919404761901	0.4925957142857147	0.30718049999999997	0.4166052023809529	2.915620976190481	1.1863156309523806	2.228958761904763	1.7456337976190486	2.311364166666665	0.6761243452380957
NK cell	0.018565768518518554	0.24131	0.030308009259259267	0.03537672222222227	0.029735694444444478	0.046254407407407445	0.10738324074074078	0.07365066666666663	0.0361337962962963	0.10517064814814811	0.024768416666666623	0.03906851851851849	0.09998226851851859	0.23432745370370361	0.052262768518518445	0.1354027314814814	0.035083240740740776	0.12761876851851853	0.00784045370370371	0.015944055555555555	0.013612111111111111	0	0.024726064814814777	0.02207020370370371	0.04474789814814811	0.005906777777777778	0.05980625000000007	0.07016093518518526	0.1654334444444444	0.06857256481481477	0.1606319537037037	0.03133942592592589
B cell	7.87165325925926	276.2055517500003	12.145546703703705	3.2775912685185227	16.196746425925966	22.519843694444482	5.078663129629634	208.75671819444483	13.078044277777778	158.6575342314815	1.2316693240740746	13.961260138888926	97.31484094444448	171.74463012962963	20.120808712962962	25.86707459259255	254.3510175833337	0.22877952777777769	2.6890341111111074	0.14253538888888878	9.151057888888888	4.886756111111111	15.823618861111076	212.59060525	33.860289537037005	4.417746148148152	1002.2605580092596	45.84311889814815	284.94026180555556	124.44563476851815	176.9441427685185	20.054915046296294
Monocyte	1.7977624523809534	4.49271898809524	8.751041059523812	5.049482892857143	1.9094181785714281	4.775109428571427	5.978481761904756	7.853442261904757	3.6401673809523785	9.683631988095234	1.8671550476190466	1.8308616190476177	5.655237392857143	0.9202280476190475	8.10824327380953	7.696732797619047	2.007045345238094	0.7934255238095242	3.4445220952380957	1.47076194047619	2.816324285714286	1.2321945714285714	5.459665380952382	2.328628499999998	2.7829885119047657	1.3275993452380948	6.631349488095242	5.847205547619048	7.383246738095233	4.9243721547619055	8.966158833333344	1.34448617857143
Macrophage/Monocyte	1.7977624523809534	4.49271898809524	8.751041059523812	5.049482892857143	1.9094181785714281	4.775109428571427	5.978481761904756	7.853442261904757	3.6401673809523785	9.683631988095234	1.8671550476190466	1.8308616190476177	5.655237392857143	0.9202280476190475	8.10824327380953	7.696732797619047	2.007045345238094	0.7934255238095242	3.4445220952380957	1.47076194047619	2.816324285714286	1.2321945714285714	5.459665380952382	2.328628499999998	2.7829885119047657	1.3275993452380948	6.631349488095242	5.847205547619048	7.383246738095233	4.9243721547619055	8.966158833333344	1.34448617857143
Myeloid dendritic cell	0.45311152777777763	80.79190937499995	2.4738602083333325	1.5395891111111095	1.118594819444445	4.69269856944445	1.0542735972222228	11.873259527777783	7.365094861111117	6.639019277777772	3.4678669444444443	1.0295393472222223	2.7346118194444435	1.2738097500000005	1.1829664861111122	4.029966888888896	1.0465937083333323	0.5620193472222234	0.6435871805555555	0.9748336666666667	1.6593829999999998	0.3742155	0.9299767361111106	2.7206341111111056	0.41839881944444385	0.39513155555555507	2.331958277777779	4.393750097222217	2.2129592500000013	5.017161527777771	10.033504194444456	0.6163775555555555
Neutrophil	1.9000038388888891	3.6339310111111134	2.607537422222222	2.5619855611111135	2.557662922222222	4.63400828888888	2.876533922222227	2.880523777777773	3.3772998444444426	2.8809904888888895	2.76651459444444	1.907473044444444	3.4371272222222204	7.936033105555553	3.4837249944444473	3.829339894444443	1.6037485666666664	1.9019761444444443	2.504446888888891	2.7235102444444417	1.7643834	2.3515829333333333	2.891260355555554	3.4995715166666668	3.4110009000000003	1.7024798111111117	2.4667334999999997	5.066151444444444	3.1231408666666645	3.3035608777777763	2.62056482222222	1.5192877888888887
Endothelial cell	4.145033643229168	1.6690487005208339	3.0855360989583347	5.225222619791665	7.171174106770842	7.595195195312502	4.30522167447917	6.1718199843749995	1.6584996458333334	6.730418296875003	2.4201855885416657	2.3865860859375	7.5636481302083345	2.3336236718749985	7.229350531249998	10.162988859374996	2.217048716145834	3.6285568229166687	2.490625182291666	2.075452263020832	2.8416045	1.8648363125	5.8197202343750005	6.355415216145835	2.1781232838541675	2.810508638020834	4.615674067708333	6.9469117526041675	16.289587197916674	9.73700601041667	3.8744075026041647	2.7119879817708337
Cancer associated fibroblast	219.81165403124996	59.477500635416675	173.6346513958333	168.14098631249988	63.49114109375003	552.12139725	149.12180056250003	463.84652252083384	91.29512990625003	348.55967159375	100.50290346874996	49.48453240624997	327.2721193125	21.265953260416662	581.1991563020824	318.5636104895833	13.899977416666667	15.349206520833325	83.8870295624999	13.091465927083346	99.827644875	73.9273285	169.92581230208324	200.44303709374998	76.66538437499996	16.983801979166678	195.40147687500007	286.2625773125	511.9304446041671	1287.7276760104162	339.63037004166665	115.59201173958341
