cell_type	PC_310	PC_161	PC_31	PCB_234	PCB_536	PC_292	PCB_594	PC_244	PC_142	PC_95	PC_201	PC_224	PCM_92	PC_301	PC_150	PC_102	PC_48	PCB_49	PC_330	PCB_714	PC_501	PC_497	PC_108	PC_160	PC_227	PCB_600	PC_284	PC_334	PC_66	PC_72	PC_83	PC_279
B cell	0.0023842397265630413	0.0029238814338013864	0	0.003358229246393181	0.0024470981792882886	0.004432187431626767	0.005436774296074773	0.008806349937682055	0.006354513713729676	0.008608712901713444	0.001314455064073749	0.003692195754143634	0.003309731900707265	0.004453460164952417	0.0038728225315719247	0.003908957451372798	0.002050254057839119	0.0018518834626890099	0.009635452922430813	0.0028512437968624543	0.001692294199688337	0.0016679144667897372	0.008160912202601199	0.004561902234555378	0.0029347459835761497	0.004374840575560237	0.00670204781004544	0.0032324962245461994	0.009528591843237125	0.006841216511157865	0.015400210366477431	0.0024770290717619774
Macrophage M1	0.011041207940217302	0.037499943483395276	0.06674505776656338	0.015729858857792958	0.01803083468490577	0.029444193942791498	0.020459921767924362	0.05039147401005742	0.013790475008768597	0.0337148152421849	0.017683841523441483	0.03732397306430555	0.031409011193533946	0.0042199818839277585	0.04965424988355631	0.03420226994489721	0.03541761839398845	0.008511719255710497	0.013081843263320278	0.0017875360944820521	0.02943618210964277	0.010452000286374294	0.0564850434100381	0.04463953475668757	0.0071215097872585524	0.014863661780149216	0.026836957522088926	0.07503262806604054	0.015103579530449288	0.04438097603100757	0.014980417466054382	0.012005458006968547
Macrophage M2	0.004255439514529891	0.015499786285311843	0.014519446242613242	0.03216170568481063	0.03165257661649468	0.013012689579632792	0.02458190838940516	0.019804623741271107	0.011627757987824299	0.032264657462586326	0.008093879553885084	0.005275097699181006	0.016760616627966057	0.016921668601474704	0.02697543782618631	0.031271621577300394	0	0.0085081141122247	0.008502233403392288	0.022852955924117117	0.008420079592160425	0.011271429715756403	0.010367163072815452	0.006588102161134757	0.011913757368136695	0.007693703286015058	0.014067229192579217	0.007281361158283231	0.04507426951460218	0.01347117691129192	0.04910988654667386	0.007824145272120388
Monocyte	0	4.3351338083292754e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003867237196461709	0	0	0	0	0	0	0	0	0	3.526391030945148e-4	0	0	0
Neutrophil	0.026894580737614426	0.016951062928995574	0.06388987730076219	0.036513603725055715	0.04180332267871263	0.045799163049428264	0.04903799297509075	0.02076267684362466	0.022934237951954428	0.020808902754640816	0.015077509414440096	0.0288264905236656	0.048603172264738106	0.03721039369055846	0.04780325157654464	0.03965172587993301	0.028124811418872443	0.023453962107898713	0.04061245452229462	0.031537981652680194	0.02141831501452609	0.020225792911454512	0.019358527334915894	0.024196660061177388	0.04637901647360273	0.030771379390938415	0.06286696850209243	0.03724288709098201	0.0330082195367186	0.021789005293238288	0.01447802974206951	0.022806045065247176
NK cell	0.007068047543219472	0.004243832611878851	0.005086384837697053	0.006069587904365304	0.005308854626533717	0.0051877811923580815	0.007210817374536569	0.004782957757215279	0.0049649498653976136	0.007461326936137576	0.007533465043631304	0.006601034606993306	0.010665805476390193	0.011203470989622927	0.004142172143429806	0.007705750478797376	0.001934698897873554	0.006542140644191371	0.005583984838720087	0.012707641256409125	0.003634443232225524	0.0025466290466046085	0.008611089942007776	0.00388856472069083	0.006858758120599028	0.006659658242349864	0.008775046557637098	0.005812138899995255	0.008228033149757263	0.007019231026020853	0.007057475161052194	0.014150378494746813
T cell CD4+ (non-regulatory)	0	0.009644229960136183	0.05855036618298395	0.01625673798624992	0.030229660606136625	0.011803584429464418	0.012735807748847722	0.015639667378858513	0.013458335605334546	0	0.007204997197422774	0.022388714407996155	0.00452729428398837	0	0.033481614416718354	0.007769189310313299	0.036527293190507085	0.012300431751938892	0.0028948011182306165	0	0.034256566253225325	0.010088778760076064	0.004538240906403689	0.031704885508660297	0	0.01774106780392339	0	0.02570913971839321	0	0.0011119617551823	0	0
T cell CD8+	0	0.00375615235502805	0.0035797628479231495	0.0022834572612391857	0	0.0011697818266188382	0	0.010356737445659446	0.003427424133850414	0.00907749956458607	0	1.2404574897247786e-5	2.598816585008027e-4	0.0013031294754349426	5.738475241794246e-4	0.005114310840421863	0	0	0	0	3.8754863402999337e-4	0.006508734958101016	0.01191191314174511	0	0.001987747630038501	0	0.010445719285129686	1.8076437802329496e-4	0.005626246013800444	0.003575764750213459	0.008564394737090524	0
T cell regulatory (Tregs)	0.0039930377235179995	0.01105671702875803	0.010359928185928947	0.00375378373063983	0.0041702393567525815	0.006284299504963261	0.002711337351174787	0.006892691313910473	0.0026491268878438274	0.0102137228959335	0.0010144331942128107	0.004011169940934781	0.009552822686416277	0	0.0071194309726394225	0.008020720862198486	0.005112939995210983	8.1979803827539e-4	0.002075471867026469	0.0012261578127516	0.003628665908646718	0.0019401429466283104	0.004425435967381122	0.005651540841226952	0.0016837769830141162	0.001535978989640704	0.011100995122261752	0.005890358750851908	0.01629350391294661	0.010088233737209074	0.011995544701273664	0.009506505597238864
Myeloid dendritic cell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023790320069223036	0	0	0.0022889139393711955	0	0	0	0	0	0	0	0	0.002916186001257225	0
