cell_type	PC_310	PC_161	PC_31	PCB_234	PCB_536	PC_292	PCB_594	PC_244	PC_142	PC_95	PC_201	PC_224	PCM_92	PC_301	PC_150	PC_102	PC_48	PCB_49	PC_330	PCB_714	PC_501	PC_497	PC_108	PC_160	PC_227	PCB_600	PC_284	PC_334	PC_66	PC_72	PC_83	PC_279
Myeloid dendritic cell activated	0.11612281256899575	0.2722529862213186	0.3281628510761861	0.10292712638411813	0.04567971709484278	0.22380842686834498	0.09651359990105197	0.21701210107570496	0.18929441826087298	0.3491586025608446	0.09691655897616275	0.047673073261429236	0.27923061945552147	0.050743710931451476	0.13697143530700187	0.30164700500315994	0.15496712306312171	2.735948511318614e-21	0	0	0.14866835939057463	0	0.11631141088350314	0.03189279771820744	0.03354027900044627	0	0.3207442826526063	0.19885613907413574	0.262969669204715	0.10804989288643815	0.31100882334117136	0.07033391519301284
B cell	0	0.03591069020225454	0.014227978431953546	0	0.01486174075222845	0	3.874630749816293e-4	0.02006628332983561	0.0079830646914313	0.008379844660829293	0.005894410635603256	0.0016518029016398302	1.8488865335451754e-19	0.02803595335723572	2.797144592067841e-19	9.754413980799653e-19	0.006810497454641396	0.003785224860303697	2.0051792919195975e-19	0	0	1.9066887287185688e-20	0.003981090620155524	0	1.0614118407216536e-21	0.005553957671846174	0.026205607709016827	0	2.274475193914482e-19	2.461331760897115e-18	0.09430457161019146	0.013590191717041514
T cell CD4+ memory	0	0.010784725952371644	0.006247201151412637	0	0	3.3652685137092654e-21	1.2737519755565268e-21	2.285616808845968e-20	0.009141283075496455	0.009374234734563879	0	2.502440070854369e-4	2.2022414254190072e-20	0.0014266816319777665	5.3079493829972173e-20	1.4934914659065468e-20	5.948768068061798e-19	2.887612288795601e-19	9.711522917635361e-22	4.3225932811656553e-19	0	0	5.0798146799570574e-23	0	6.58767984729701e-20	0.0018279664431998393	0.0029202108080754506	0.0038056251647484605	0	2.1169845473580267e-19	0.01579770529584592	1.1920880324057126e-20
T cell CD4+ naive	1.6638604108640376e-5	0.001387347076911749	7.813946943407152e-18	0	0	1.4979781521094532e-18	5.276599174851052e-4	0	4.919912950665827e-20	0.014474236562144298	0	0	0.011104391313235274	0.0033424584937267	1.4084152985544764e-18	3.061047584371808e-19	3.4312978221428845e-19	1.423804330993595e-19	0	7.673487447047205e-19	3.861812880528786e-19	0.009232388175765431	0	1.1441123983045323e-20	0.016222297446415075	9.394974378716321e-19	0.023669177920693653	5.215848176895783e-19	0.002715236483952421	0	0.005834495595040703	1.1980839855159858e-19
T cell CD4+ (non-regulatory)	1.5200226034796046e-18	0.006547873447936477	6.481803024151974e-4	0	0	0	4.60238184332177e-19	0	0.001570647308171221	0	7.789947614599539e-19	0	2.584843003173855e-19	0	0	0	0	2.453133745100578e-18	0	0	6.7471525714769085e-18	1.1980940829106278e-18	0	0	0	0	0.0012500583440611206	9.638797808067648e-19	0	1.0242361869484039e-17	0.004567483890733899	9.804231245118994e-21
T cell CD4+ central memory	2.332129116408389e-19	0.00570804431660407	6.604215662579559e-19	0	0.015904186928040197	0	0.009998341111428995	0	0	1.3805683717783323e-17	0.021673788835491908	0.00405369452272866	7.11765898918901e-19	0.004147932390411006	0	0	0	0.02375530728429521	0	4.605364215362565e-18	0.014202186936070237	0.01962365728463949	0.0015505085067324341	0	0.005546134673159661	1.1286732084349572e-18	0	0	0.003572260423155521	5.566879244445691e-18	3.2646058428251185e-18	0.006077827774584493
T cell CD4+ effector memory	0.01313420876243145	0.007801169994260731	0.06076318407060672	0	0.007413654251570358	0.0044935357943825345	0.015354466729094662	0.05314901603964431	0	0.021503217048117362	0.008560925833475426	0	0.013145226429730091	0.0396637467026295	0.007871512696607484	0.03857117096142239	0.08733408203573803	8.776211087760125e-5	0	0	0.021058841853620402	0.009911367186530112	0.012543654445120678	6.142811618462652e-19	5.190758667833732e-4	4.031067954494766e-18	2.6081411729183737e-19	3.486520708539882e-20	0.006760606540377359	8.661434692818006e-21	0	3.741915752833927e-19
T cell CD8+ naive	0.00859382924862668	0.014342610232928875	0.007857368916396698	0.011897833324250028	0.006716414096215404	0.008673730293305155	0.011154052890867544	0.007030131594342559	0.011617684185993916	0.0054530665544725914	0.004684926242731331	0.0034571380532430265	0	0.006117020829873706	4.195663351626564e-19	0.0028815724833448353	0.008653500038743628	0.014011259154846184	0.013527503023717814	0	0.0032613659429842254	0.0038435680766405237	0.0027158167603301615	0.004963624136730337	0.013346370942833913	0.008878621072909598	0.007011746118328498	0.002848454829128705	0.014986485945294076	0.00796439276359817	0.00610830243799211	0.012401765433727186
T cell CD8+	0	0.019517614946187273	7.154428393791426e-21	0	0	2.1218175939782303e-21	1.0514070634487724e-19	0.002502466036893623	0.015701243480562514	0.02084988416361038	0	0	0.00403248034381666	0	3.721090805026146e-18	2.511979386820316e-18	9.185747958821024e-19	5.831564580944687e-19	8.263483082060165e-19	9.248660658229522e-19	0	0	0.0018963690804250678	6.616696015919775e-19	0.01637089285343327	9.957984589168967e-4	0.030512512352143306	2.7729920215292644e-20	0	2.8052658187301873e-19	0.01779301728236023	6.198366075903054e-20
T cell CD8+ central memory	1.1060938326448822e-18	0.03988871092581469	0.01339502556922724	1.9685536749495025e-18	0	1.0801859110681148e-18	2.6712881541273923e-19	0.0014602619515200897	0.024734746776705844	0.040780921507737315	0	1.180037397792501e-20	4.873543608689525e-19	0.01245402580230658	0	0.0032478763460274704	1.1071023365460417e-18	3.7761903717227235e-18	4.194572890906574e-18	0	3.921723122853457e-18	0	1.199402176856847e-19	5.2252414721917465e-20	5.36548141073973e-19	0	0.04603153487369337	0	0.005611174585628009	6.079863294661272e-18	0.0257951444610462	1.2288455011203094e-19
T cell CD8+ effector memory	1.365454926595801e-20	0.002927198326432697	4.837307630854111e-19	0	2.2402250335218364e-19	6.176616193693895e-19	0	1.997196806979e-18	1.293168602700034e-19	1.3402555635807362e-19	0	0	3.799772512932808e-19	1.2912683911702926e-18	2.7660757195899003e-18	3.8039033380445636e-18	2.6988342501370077e-19	3.091600329540328e-18	0	0	5.735518710999813e-19	0	0	9.613907173913735e-19	0	3.967623701995003e-18	1.7416605796651964e-18	3.038644971576735e-18	2.0101264788355017e-18	1.0280241177924109e-17	0	0
Class-switched memory B cell	0.008652341304697869	0.015741535250622003	0.010982395968732676	1.3201250973967563e-18	0.007844711982417174	8.358127913307724e-4	2.3247826566382573e-4	0.008219662693808819	0.015008734502278648	0.018942990328775132	0.006370369801731326	0.006569707590114093	0.006608616367172826	0.03655391832545741	0.001561572350892803	0	0.006611375590431877	0.0026530553289951307	0.0025820382739287578	0.007640265853922588	2.079579165101699e-18	0.018221940427187798	0.005434397477719075	0.005684999332492004	0	0	0.029228122766362694	0.007757670755351894	1.0043852116731911e-19	3.1772596540077994e-20	0	0
Common lymphoid progenitor	0.0036044601560519416	0.012167728318624055	0.013644832896577405	0	0.0027364620657653596	0.003185839332625244	0.002159300103540746	0.008125018457588265	0.01968787462445692	0.0025296977094826406	0.0046818856417241974	0.009675961767125062	2.0374327528644558e-20	0.0035368054498172044	0.004083615848817227	0.0031585299996544788	1.634010815572639e-19	2.3516916186060188e-4	0.010851500916282578	0.01529412438227609	0	0	0.005306529206910073	0.010254828369315053	0.01430009838940171	0.014466115247324308	0	0.00422389742764621	0.002799986238763222	6.586840241663584e-4	0.017656139909846026	0.002290400826568834
Common myeloid progenitor	0	6.058718858075814e-19	0	4.978586541633842e-19	0	2.1002646406723856e-4	0	2.0130895780943832e-20	0	2.3592095432337657e-19	1.0415420818998367e-18	1.2296172871241141e-18	0	0.002752615364227649	0	4.4827070153492777e-4	0	1.0368385303450869e-18	9.575296137926366e-19	0	0	4.68343407136265e-19	0	1.6318347312431808e-19	1.4707877443085373e-19	1.2906181833634158e-18	1.1870184046171577e-18	0	0.003204432562382974	0.002954559516083125	1.320818264472896e-4	4.906115508476815e-19
Myeloid dendritic cell	0.002852148087688011	0.014581335946124466	0.024732032005984603	0.0014584781784597503	0.002436266690251331	0.011923517133417003	0.002175439992835732	0.019443184216713004	0.017779226170178516	0.03556720090886161	0.005854891783698038	0.00410104016137342	0.026437046631666426	0.003597575052930785	9.749690827479676e-4	0.04222933796397033	0.01678806265817211	0	5.367055485086694e-20	2.7222166648300284e-19	0.015192077391903558	0.0022036847541445433	0.005909005601146798	6.458388773109866e-4	1.424850891678801e-21	1.5656519209903563e-19	0.02837832964678627	0.01524861767906006	0.011825845445259778	0.005400860906394223	0.05372090061384946	0.0032001349591077683
