cell_type	COMET_0003M1	COMET_0005M1	COMET_0008M2	COMET_0027M1	COMET_0071M1	COMET_0111M1	COMET_0122M2	COMET_0134	COMET_0138	COMET_0145	COMET_0151	COMET_0169	COMET_0172	COMET_0182	COMET_0190M3	COMET_0192	COMET_0233M2	COMET_0255	COMET_0272	COMET_0277M1	Lme_0015	Lme_0017	Lme_0027M1_1	Lme_0033M1_2	Lme_0042M1_2	Lme_0047M1_2	Lme_0072M1_2	Lme_0078M1_1	Lme_0081M1_1	Lme_0087	Lme_0098	Lme_0110	Lme_0067	Lme_0101	Lme_0095	PC_0234M1	PC_0256M1	PC_0422M1	PC_0574M1	PC_0344M1
B cell naive	0.0344692196760702	0.0249281263804817	0	0.002546646692898	0.037106949292544	0.0554575137681944	0.0606349931555841	0.00585992538591894	0.0194408112102996	0.0378723645080526	0.0033687459309261	0	0.0534782093272154	0.00133727810188215	0.00446951876077784	0.00398221316910972	0	0	0	0	0.116860754152263	0.133709280957618	0	0.0124482883957395	0.00456465783620244	0.193141008198481	0.119618933798481	0.0729914468699745	0.0421742256754381	0.00239212156607661	0	0.118180451341996	0.0833019666189074	0.112369418524415	0.00877007647660731	0	0	0.0621261876802823	0.0331257252208303	0.00551837370509423
B cell memory	0	0	0.00533952950073315	0.0560816911681581	0	0	0	0.0069958021389153	0.0397970402018457	0	0.0567388110759583	0.0358106145973886	0	0.023259272022061	0.0109724696019505	0.0122782578121568	0	0.0180715452589229	0.0833773536216556	0.00780662280887854	0	0	0.0263161467494837	0	0.00253330291197051	0	0	0	0.00269629662862206	0.00737598330254404	0.0344970816850653	0	0	0	0	0.0373359049449129	0.0246444678486937	0	0	0.0166015355228055
B cell plasma	0.0204522826507237	0.0111041115500335	0	0.0511117474608967	0.0336337972292174	0.038533162396946	0.0107393848391427	0.0575990541204684	0.0919056523130964	0.028744225383669	0.0165624375093963	0.0272220628159399	0.0732623021670987	0	0	0	0.00218171541270898	0.0834148345892046	0.0338954896703187	0.0900258864451336	0.127771600520832	0.178850352427752	0.0211273444772659	0.00674449141060021	0.110079503601465	0.195278596572167	0.116076033847447	0.0541681229985635	0.131864116088851	0	0.0613227012858773	0.0920312592164912	0.113366107081511	0.043368081803195	0	0	0.00291011497711316	0.00663222499813401	0.0105881530705504	0.0349067686849273
T cell CD8+	0.0890057031582534	0.423120317721942	0.0317546874859882	0.0793558275851207	0.0578853447347725	0.132130609311508	0.192506400555697	0.0510388740056645	0.0606421033515944	0.159677029396763	0.0612909518040652	0.0676352729252144	0.183631773100674	0.230304150655866	0.0267283682314345	0.0267841989025741	0.246679025956943	0.230478414590592	0.046407597203673	0.174312863074185	0.11727783706738901	0.186582015953662	0.0572870977526118	0.0448780521581801	0.0743660694055565	0.13960253110826	0.104494697268424	0.243216960390969	0.092162529435338	0	0.0880001077565568	0.183348263994789	0.188405297883366	0.124911518730869	0.190738148395678	0.0298447405027659	0.0242239774463694	0.0749984481971383	0.229442359201491	0.129169776006053
T cell CD4+ naive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0115656550340745	0	0	0	0	0	0	0	0	0	0
T cell CD4+ memory resting	0.153527910101847	0	0.0227964816103621	0.0573371056573005	0.18151962886615	0.086456504340678	0.0544376280434293	0.137641345694044	0	0.14102904312249	0.0813636422696063	0.123891865374992	0.185356855664442	0	0.0163171474928796	0.0203270342053268	0.0705938776190307	0.038183403462296	0.0972074281338687	0.213398069709414	0.00278929537771703	0.0453168275579055	0.0552473332330997	0	0.130516507083654	0.0749888008047602	0	0.149948830721892	0.0788952408576419	0.0292750342845311	0.021623289195385	0.0936061868875973	0.132083289657263	0.0935977196313078	0.230893154316536	0.0446185686102625	0.0262354316549069	0.119436202267915	0.0637394203007747	0.147650470606525
T cell CD4+ memory activated	0	0.138555074122504	0	0	0	0.0281849626904931	0	0	0	0	0	0	0	0.0552014968372051	0.0348998876128592	0.0129147086119564	0	0	0	0	0	0.0197996550435189	0	0.0472793001418674	0	0.0245873000418966	0	0.0171323341318563	0	0.0114459121536587	0.0118864696455923	0.00443352908903767	0.0364183527468993	0.00144379284499412	0.00642228272870197	0	0	0	0	7.37723452827914e-4
T cell follicular helper	0.00576435921502121	0.0714007793162196	0.0411173709162103	0.0822912104314759	0.0460963063756451	0.0158453086781738	0.182999107036104	0.0361201535095128	0.0429237248613316	0.111036463240073	0.0062845368014797	0.0783697339108689	0	0	0.00698932997941047	0.00882161448041829	0.0697385130784398	0.0981755616070766	0.0500754968920595	0.0707530946834893	0.113107836406449	0.097992871777131	0.0277197440637759	0.00607132973754084	0.0267883742165566	0.0812815985086837	0.154997078403052	0.0703339654706539	0.116570972018565	0	0.0751845320635305	0.0552144361208616	0.0875267502073706	0.0615874781628969	0.070435940607202	0.0112597618339478	0.00404204818586151	0.0480040014605348	0.0960228858380206	0.0110045507817822
T cell regulatory (Tregs)	0.00872487997154698	0.0301787840783245	0.00175921791134577	0.0408455298359253	0.0217309749932678	0.0167580892695858	0.0180819459254495	0.0306800682917549	0.00957229920505577	0.0354178223327696	0	0.0413906384570378	0.0231197242113595	0.0494023894318455	0.0329344895987185	0.0298183373155719	0	0.083490288411211	0.0353564661506811	0.0585231903990124	0.00635618389767462	0	0.0230407542675845	0.0379947465385117	0.0436427343306732	0.0422965467055708	0	0.0407863477828521	0.017106137124982	0	0	0.0422590869488873	0.0213550763370285	0.0407552047340546	0	0.0274589732588858	0.0193058063941151	0.0506112159645725	0.0337349310713218	0.0280838906644843
T cell gamma delta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378884511400961	0	0	0	0	0.00487528339827511	0	0
NK cell resting	0.00305114760396194	0	0.0327965351750007	0.024588129104719	0	0.0400833224910453	0	0	0	0	0	0	3.3486331987234e-4	0.0242308964415082	0.128113921068306	0.0357291475652604	0	0	0	0	0	0.00965412011018072	0	0.0669156452119614	0	0.0358142018029573	0.0165134164904614	0.057008503677154	0	0.0405607155906989	0.0496172528940222	0.0178735583220603	0.0160351886206873	0.0157208253370315	0	0.0196687265812641	0	0	0	0
NK cell activated	0	0.0578680992558698	0	0	0.0204709376530185	0	0.0844261389052857	0.00786568584301361	0.0430124592570193	0.066797446833000207	0.0179972584533641	0.0204519178446005	0.0208049063925433	0	0	0	0	0.0825137123632268	0.0949896588027705	0.113501983647458	0.0383656952680344	0.017562146314879	0.0204575139866545	0	0.0887531938021081	0	0.0152776198145629	0.00134639560095512	0.0109542433024128	0.0165422185995824	0	0	0	0	0.110076952437116	0	0.0132939690964559	0	0.0134275395367201	0.00558249652689198
Monocyte	0	0.00103596943287003	0	0	0	0.0224326762181114	0.0118650857829347	0	0	0.00264270999823464	0	0	0.0177154814672918	0.0108831751740585	0	0	0.0380646110854642	0.0150431222633803	0.00532623676623233	0.0101329127768531	0	0	0	0.00347919470110851	0	0.0151714613711049	9.38276033826498e-4	0.0183358115160025	0	0.00141516003554527	0	0	0	0.00874944282566673	0.0242512641252523	0	0	0	0.0352242584361231	0
Macrophage M0	0.380241125252865	0	0.425277353224651	0.244266650654959	0.0816289265290058	0.116099234060054	0.190117539060623	0.500468917701408	0.329068803772021	0.125455210081232	0.460321467943359	0.347815104678742	0	0.250941099350482	0.446969354944317	0.468363616196657	0.377194252682256	0.0573603389748714	0.230937656883923	0.0427961825489374	0.100631960685338	0.0600271431982589	0.424757343524812	0.51728845957334	0.285178998752069	0.0527643370481721	0.0743489638017876	0.0115913984770929	0.136043166974561	0.404482940973914	0.306215228242001	0.0917352759958869	0.0547812439874716	0.0525497090702663	0.0323560357904363	0.449234489380334	0.687576345167669	0.0227589445101303	0.166118463869123	0.249753877111385
