cell_type	COMET_0003M1	COMET_0005M1	COMET_0008M2	COMET_0027M1	COMET_0071M1	COMET_0111M1	COMET_0122M2	COMET_0134	COMET_0138	COMET_0145	COMET_0151	COMET_0169	COMET_0172	COMET_0182	COMET_0190M3	COMET_0192	COMET_0233M2	COMET_0255	COMET_0272	COMET_0277M1	Lme_0015	Lme_0017	Lme_0027M1_1	Lme_0033M1_2	Lme_0042M1_2	Lme_0047M1_2	Lme_0072M1_2	Lme_0078M1_1	Lme_0081M1_1	Lme_0087	Lme_0098	Lme_0110	Lme_0067	Lme_0101	Lme_0095	PC_0234M1	PC_0256M1	PC_0422M1	PC_0574M1	PC_0344M1
T cell	3.135184333333333	3.201054	2.7543654	2.2289901333333333	1.5664357333333334	2.5315666666666665	1.3702147333333334	2.0924497333333334	1.1688829333333333	4.103828533333333	1.0847230666666667	2.1773422666666664	0.8737173333333333	1.7994699333333333	1.6350359333333333	1.5313520666666667	0.8859482	1.1808443333333334	1.3960992666666667	1.5233326666666667	2.1282482	1.2622120000000001	1.9374070666666667	0.7521198	1.4845414666666668	2.714785	1.8969876	7.472804866666666	1.9571743333333333	0.8070637333333333	1.2771020666666666	4.336042733333334	6.4287222	3.0293725333333335	1.7688249333333332	1.7051264666666666	0.9809588	3.347373533333333	1.4601092666666666	2.1136909333333334
T cell CD8+	4.065626	8.131301	0.068003	0.569043	0.589545	0.600066	1.384564	0.501712	0.03572	1.629416	0.470033	2.583821	0.737357	0.801178	0.107653	0.369444	8.762263	26.70787	0.89151	3.5890590000000002	1.62599	0.271706	1.149774	0.004501	4.721358	2.119899	1.20488	3.17521	0.452308	4.111223	2.660596	1.307749	3.874241	4.805291	0.618715	0.317589	0.260967	3.789006	1.570813	1.031123
cytotoxicity score	1.6698964285714286	5.700603142857143	0.3119045714285714	0.8916397142857143	0.6099962857142858	1.2964755714285714	0.5118317142857143	0.3809562857142857	0.06502971428571429	5.1754745714285715	0.2824402857142857	1.0496222857142856	0.5551497142857142	0.5314228571428571	0.4892774285714286	0.6356281428571429	0.20771442857142858	0.5750165714285714	0.06186642857142857	0.7367808571428571	0.8121874285714286	0.503101	1.7057698571428572	0.324094	0.9197545714285714	1.241706142857143	1.236530142857143	6.23948	0.9406404285714286	1.3446347142857142	0.718548	3.599252142857143	4.444687571428571	1.6851911428571429	2.0113074285714285	0.4463152857142857	0.19686514285714285	1.9809424285714285	1.0642202857142857	1.3683797142857144
NK cell	0.1723903333333333	0.03703533333333334	0.010004111111111111	0.035020444444444444	0.044498444444444445	0.06930944444444445	0.031593555555555555	0.3913111111111111	0.003537666666666667	0.019123555555555557	0.009604888888888889	0.021533111111111114	0.185676	0.17609588888888889	0.031211555555555555	0.16265633333333335	0.02234066666666667	0.5238197777777778	0.011579777777777779	0.0021026666666666667	0.029807222222222225	0.007758888888888889	0.037365666666666665	0.02804388888888889	0.037338222222222224	2.4801324444444446	0.041446444444444445	0.11909033333333333	0.030978111111111113	0.07529477777777778	0.024442444444444444	0.06668322222222223	0.10777	0.04782533333333334	0.044797333333333335	0.052094888888888885	0.022492333333333333	0.07037455555555555	0.09003277777777778	0.05827811111111111
B cell	61.36198100000001	32.32527288888889	1.814365	170.899709	158.2242761111111	121.68090255555556	3.4590704444444444	84.770465888888893	3.6475068888888886	272.0334263333333	19.97723377777778	19.05591077777778	71.54645988888889	17.650915555555557	8.993198222222222	11.603187888888888	0.8551949999999999	27.857615555555554	2.6919446666666667	79.89052444444445	100.53381477777778	65.19046444444444	142.48605844444444	53.65577888888889	74.53871033333333	1196.222635	463.4090106666667	234.0487041111111	96.27208888888889	3.093907222222222	91.50879055555555	859.8204211111112	2151.156648	80.35602922222222	2.346282111111111	2.054698888888889	6.058517666666667	121.13564066666666	190.2584167777778	699.9345608888889
Monocyte	7.4090424285714285	3.6627555714285713	2.293351	5.410216285714286	6.486441285714285	5.3962071428571425	0.6146838571428571	2.7570398571428574	0.6982707142857143	8.114424428571429	2.6250225714285715	1.3164037142857143	3.497317285714286	1.8676514285714285	3.8436754285714283	14.731263285714286	2.2211362857142856	1.2468195714285715	1.0683405714285714	2.3713394285714284	2.9458830000000003	1.0745945714285714	10.658858	2.0329935714285714	2.145688857142857	1.8458258571428572	3.5502475714285717	3.427219714285714	3.2576232857142857	7.551139142857143	2.4485925714285717	7.313250857142857	5.379242285714286	6.5176234285714285	1.5990922857142857	3.911542142857143	3.323852714285714	17.02496257142857	5.072798428571429	7.949951571428572
Macrophage/Monocyte	7.4090424285714285	3.6627555714285713	2.293351	5.410216285714286	6.486441285714285	5.3962071428571425	0.6146838571428571	2.7570398571428574	0.6982707142857143	8.114424428571429	2.6250225714285715	1.3164037142857143	3.497317285714286	1.8676514285714285	3.8436754285714283	14.731263285714286	2.2211362857142856	1.2468195714285715	1.0683405714285714	2.3713394285714284	2.9458830000000003	1.0745945714285714	10.658858	2.0329935714285714	2.145688857142857	1.8458258571428572	3.5502475714285717	3.427219714285714	3.2576232857142857	7.551139142857143	2.4485925714285717	7.313250857142857	5.379242285714286	6.5176234285714285	1.5990922857142857	3.911542142857143	3.323852714285714	17.02496257142857	5.072798428571429	7.949951571428572
Myeloid dendritic cell	3.1254608333333334	1.5723711666666667	0.46859266666666666	3.9324745	1.8179298333333334	2.490077	0.1010935	1.7077483333333334	0.19593633333333332	1.9092428333333333	0.5208251666666667	0.8409866666666667	1.0891121666666668	0.6534876666666667	0.6402676666666667	2.0265151666666665	0.20949916666666665	0.26116116666666667	0.4216181666666667	1.1544533333333333	2.109316	0.4504706666666667	2.2621995	0.7193561666666667	0.42893333333333333	1.394601	3.9254175	5.126269833333334	1.7779728333333331	0.9101776666666667	0.6746211666666667	8.856310833333334	3.7769448333333333	5.963633333333333	1.6354768333333334	1.5017951666666667	0.8734945000000001	5.100136333333333	29.478100833333333	1.4280526666666666
Neutrophil	2.2572102	1.1524193333333335	1.1946528	1.4857453333333335	2.7922507333333333	2.1437345333333333	1.2374867333333333	1.7944040666666667	1.9128746	2.2188308666666665	1.3773452	2.0571146000000002	2.3396166000000003	1.5616383333333335	1.6096896666666667	2.5979629333333336	1.7389965333333333	1.5112672666666667	1.4767716	1.3345102	1.7540054	1.7005180666666666	2.560590933333333	2.1084734666666667	1.7077158000000001	1.7699457333333333	1.5907349333333334	3.6505779333333335	1.5859063333333334	1.0789058666666667	1.8039367333333334	2.9949576	1.680771	3.7319145333333332	1.0851374	3.9521778	2.9367896666666664	4.9744416	3.3808591333333333	2.4877257333333334
Endothelial cell	3.41634803125	1.23255375	1.87489578125	1.66836225	4.6870886875	2.36529134375	2.00291790625	3.02650328125	1.24523409375	3.12701728125	1.34534896875	1.5721099375	1.99764703125	1.68055896875	1.4392173125	5.02404146875	1.44391675	3.0513601875000003	1.7439394375	2.08466790625	1.89519284375	1.6924957812499999	2.894760875	2.2668754375	2.50521096875	3.05134315625	2.00621346875	4.1770415625	1.556312	8.5900101875	1.2588695	3.96994240625	2.7975744375000002	7.898935625	1.07304659375	3.75435059375	3.31083796875	10.52706096875	5.3337365	4.11064403125
