cell_type	COMET_0003M1	COMET_0005M1	COMET_0008M2	COMET_0027M1	COMET_0071M1	COMET_0111M1	COMET_0122M2	COMET_0134	COMET_0138	COMET_0145	COMET_0151	COMET_0169	COMET_0172	COMET_0182	COMET_0190M3	COMET_0192	COMET_0233M2	COMET_0255	COMET_0272	COMET_0277M1	Lme_0015	Lme_0017	Lme_0027M1_1	Lme_0033M1_2	Lme_0042M1_2	Lme_0047M1_2	Lme_0072M1_2	Lme_0078M1_1	Lme_0081M1_1	Lme_0087	Lme_0098	Lme_0110	Lme_0067	Lme_0101	Lme_0095	PC_0234M1	PC_0256M1	PC_0422M1	PC_0574M1	PC_0344M1
B cell	0.004566088125302674	0.0024129894815729247	0.007340955178963837	0.0042890733975933905	0.0037894495626954665	0.004438023069554025	0.0037371232609267955	1.40043131344689e-4	0.004224809769459044	0.00588967048267758	0.0014460082738376207	0.0015131739171488413	0.0012724681041891906	0.001804015672292308	0.0015684933270370058	0.0010727465130043704	0.002403631681264812	9.784932755356472e-4	0.0037612867738289813	0.0010306156878481223	0.0016863791097633774	0.001288959474969088	0.00469134441973477	0.0014557093803049207	0.002417443639684298	0.0069769948204863085	0.003181068138241951	0.005161196135639393	0.00220974871227816	0.003860692347902241	6.063409587306912e-4	0.007419148336362433	0.012353647957099059	0.005486248776560841	0.0035860262199955625	0.002391759231725801	0.004162714253935065	0.006022590166483377	0.004598316598627034	0.003480450532348272
Macrophage M1	0.04921022786589473	0.005552934279380191	0.009030552608726298	0.011210754425544775	0.02119189885322098	0.014152981834615214	0.01847746350205083	0.025045456629095648	0.013352805507066542	0.042948523757232245	0.012161041793988562	0.022244863413682963	0.011633509324190596	0.0122189877729258	0.012867187256572774	0.039555349683229615	0.02428014122218984	0.0255426249200455	0.01435629519354044	0.0029626167275115032	0.022358312286595898	0.013424679747073374	0.020180183662362582	0.03775738872791349	0.020324659834414293	0.018531011478579582	0.015128197569493112	0.024688176222269452	0.013204074296970245	0.00651125774579575	0.055148427500975004	0.040486371034450276	0.02011888203519328	0.023930248050876107	0.01866949923088504	0.03821712688848639	0.014410551261197963	0.03149156939664666	0.01567596427760234	0.034258274791488075
Macrophage M2	0.011993023932674117	0.015429304134606409	0.016856120486164715	0.009918018704525303	0.01511249522499921	0.008375055892471084	0.002550202652805801	0.01518316368295401	0.013811041116192798	0.018194403434198824	0.012757577524470182	0.008593795850437463	2.8642856124865777e-4	0.009706825008026838	0.012828747259965603	0.022508055857579236	0.011748610143215934	0.004971205951308127	0.008523503540358992	0.005822694504752433	0.005555748901744503	0.004281524936068412	0.01923259357219161	0.0028644379890228164	0.006174758740287307	0.005886163639571008	0.008018314144851376	0.01573535985273447	0.0024583509168194097	0.03697170105200196	0	0.024660919151082296	0.01836142913111545	0.0260751378801028	0.005539643704337741	0.008154321175125578	0.008972936447042345	0.04360573911476639	0.021143407984848917	0.019234958942243464
Monocyte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0070594088929045295	0	0	0	0	0	0	0	0	0	0
Neutrophil	0.04495164560139699	0.03731010326022145	0.01639973565216523	0.02225973670574598	0.042711938492567735	0.035284600404720194	0.02662910187585268	0.04419696888580833	0.032559380660650894	0.027870607290431497	0.027003293862181945	0.03832147614078343	0.03294166588550589	0.02373224432633815	0.022393462207827678	0.03969523878620156	0.04002486921065594	0.035350785213558146	0.024956107002865196	0.025829042993891094	0.035247836011857256	0.030145492708018314	0.0294573128068993	0.033165522522509545	0.02885108189643986	0.061486554069538076	0.029343362139885566	0.03190263580314447	0.029413405522465946	0.03351143763950733	0.04216865157739227	0.05562256960941549	0.02527277118727103	0.03785537405165697	0.02532845324454184	0.04207736123771942	0.030194609300502898	0.04453609728763523	0.012838721189624248	0.0305636130290933
NK cell	0.00759809832158958	0.004051492563353906	0.005248232926737123	0.005606234364742226	0.007781403503858125	0.010641845359179681	0.0014866082912448403	0.005852467856425791	0.006130868779371606	0.0056771700694321775	0.0036292376932714355	0.012441383486162498	0.007450914079312269	0.005189068326399758	0.009852238552560705	0.0034259627839050254	0.001467863777935729	0.003047887545614833	0.012312968467378798	0.004110068747184584	0.0054090942391224195	0.0047013482843969384	0.0065181196319152495	0.005147046790066413	0.012710214329486292	0.00471398759113662	0.004984770730022572	0.008059974543770736	0.005651715765893002	0.00923062512183295	0.009614982906344015	0.006514516260684603	0.005810864536112917	0.01079354817852398	0.003406863861451911	0.004658520128641777	0.0053199862909510095	0.007553688918588281	0.004165318156697519	0.0035105333188289746
T cell CD4+ (non-regulatory)	0.018588048687934584	0	0.007854953223961035	0	0	0	0.020215762497399235	0.030743037864365858	0.018882077937760745	0	0.03180980500751881	0.021717756664708963	0	0.012061741463345385	0.01292997274930847	0.032972949674350126	0.019139687909832698	2.3454458753020314e-4	0	0.007327631035759571	0.01723435044745664	0.014444516585482993	0	0.02764075395261677	0	0.024097722423069002	9.706444041440047e-5	0	0.003091781196580163	0	0.025915799545989705	0.02345426860136201	0	0	0.017413844430034055	0.03644231732580242	0.009146075056306333	0.01092643476716258	0.016825251169017435	0.01555119684740217
T cell CD8+	0.00800105390469724	0.0176833539671693	0	0.0014676175333586824	0	3.048098134739218e-4	0.0011563786886520894	0	0	0.008549342757354018	0	0	0	9.401548388510496e-4	0	1.9068488563550324e-4	0.008159266612918345	0.026978412338878023	0	0.002706074287039756	9.626577245380134e-4	0	0.0024473376933051723	0	0.002566851316727288	0.0027000016791536158	0.0018968188674165888	0.009813697060678634	1.7696622422943388e-5	0.004439170103470323	0.0010928492557638505	0.011098821288110966	0.017537763234399394	0.0067127420360362025	0.0017087696067191642	0	0	0.008600304741828272	0.004613816822115292	0.004603862183810973
T cell regulatory (Tregs)	0.008323745699841392	0.00254488929575334	0.001486600699887377	0.004770202115455625	0.0066297257725864344	0.006291061019658322	0.002769650999476848	0.005145144059872295	0.0023942485099700157	0.013654846760059286	0.00322259855291263	0.003728940211320848	0	0.0036160778470431107	0.0011210365236298278	0.008280695951744025	0.0030850155010449572	0.0037904237899135137	0.006960902385408787	9.010036393329978e-4	0.0037406624848366796	0.0028701162162083106	0.006776410695078476	0.004773660575181278	0.009312729521450184	0.005945066779928295	0.005576112234335818	0.012235924069356533	0.004393254035326561	0.00423673590120128	0.00563153580092825	0.008739625488045997	0.014743002475504075	0.00852606588873415	0.0031330085097093013	0.007741483813144741	0.0036299165096145497	0.009760231591971398	0.006455765168636262	0.006730666588329409
Myeloid dendritic cell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
