cell_type	COMET_0003M1	COMET_0005M1	COMET_0008M2	COMET_0027M1	COMET_0071M1	COMET_0111M1	COMET_0122M2	COMET_0134	COMET_0138	COMET_0145	COMET_0151	COMET_0169	COMET_0172	COMET_0182	COMET_0190M3	COMET_0192	COMET_0233M2	COMET_0255	COMET_0272	COMET_0277M1	Lme_0015	Lme_0017	Lme_0027M1_1	Lme_0033M1_2	Lme_0042M1_2	Lme_0047M1_2	Lme_0072M1_2	Lme_0078M1_1	Lme_0081M1_1	Lme_0087	Lme_0098	Lme_0110	Lme_0067	Lme_0101	Lme_0095	PC_0234M1	PC_0256M1	PC_0422M1	PC_0574M1	PC_0344M1
Myeloid dendritic cell activated	0.1166354928965202	0.13065535423974683	0.060315907235897366	0.21529826946488942	0.16553509970976682	0.1527380230473047	3.224031859753003e-19	0.08628793994343821	0	0.2567099317118389	0.01081640368872373	0.032672807610890024	0.2492046455543566	0.04815471169563217	0.07263743758938651	0.0834845592409209	0	0.00213994005480014	0	0.014701877692518251	0.05744711484613698	4.438222418969946e-19	0.13316078625469868	1.8895403092360074e-18	3.475453099302998e-18	0.09602119936890374	0.12255804617956748	0.07051923236134607	0.028558737675893307	0.0060375534827238194	0.023475247944413597	0.1291076606432241	0.3122289247916806	0.14586142730993606	0.022029050244343474	0.06876580199338136	0.02401945888829524	0.18968427323974857	0.10809582371411644	0.13569571338688505
B cell	0.0016615648849996028	0.018542132245145178	0	0.01371449276491128	2.6210932224074806e-18	0.004262911843715674	1.1767451494656956e-19	0.009838121577193411	0.00838294970671411	0.01781854670447293	0.0058566130462109	0.004521825557052278	2.814153336905446e-18	2.7163644948109433e-19	0.0033181054239176276	0.0188794125379692	0.0021586268203737614	0.006369829422552972	0	0.007470981049897392	0.012280923004315164	0	0.014392234446411474	0	0	0.1183164054258644	0.03260250424802335	0.0018401302971615327	0.026297615798219515	1.9571113338371114e-18	0.012291573175501603	0.09724680410856784	0.15062816932246517	9.03550908827939e-19	0.0023137432728123275	0.014526353195864115	0	0	0	0.016483653292512567
T cell CD4+ memory	5.878977820813048e-21	0.021379898634307348	8.292415640427961e-20	0	0	0	0	0	4.63389832471054e-19	0.004043524147001539	1.4475661379164774e-19	2.5783376308220456e-19	0	0	2.1129738972558275e-20	0	0	7.503291940748208e-21	0	0	0	2.5524530199811795e-18	3.469468851327144e-21	1.48107475566398e-19	3.334968211064458e-20	0	0	3.5404676455031307e-20	4.2977026129116145e-4	4.966870142635045e-4	0.0010003345647250244	0	0.01395365454134223	2.6000859830782386e-19	0.006574067921703103	7.240030386218503e-4	0	6.490723816699755e-19	1.2219159197357329e-20	0.0011730760806926974
T cell CD4+ naive	0	2.3119223449952267e-21	1.9322026524325106e-18	2.179110285576291e-5	1.0142901105312362e-18	0.014836353731940526	0	0.004234845734964885	3.811253730820588e-19	1.8523173626417126e-19	0	0	0.011928188231696968	0	0.007466579626217168	0.013540556060056917	0	0	3.2627159991610656e-18	0.0012733814762636855	1.1310918175120838e-18	1.4410829679637115e-19	0.008712350456396976	0	2.485619660347711e-19	0.013331704721118678	0	0.00335104607403198	0.01818241076688999	1.7820625317472832e-19	3.726107932238634e-20	0	0.03677628044237744	0.0019821262801347577	0	0	6.317307523356887e-19	0.01517754462577193	0	0.019015846687617466
T cell CD4+ (non-regulatory)	0	0.002102123093973587	0	0	1.3894673318921683e-18	1.0806053572641167e-18	0	1.635828216231004e-18	3.68823115944663e-19	0	0	1.9017888269488984e-18	8.029532527107776e-18	0	3.6647464398540096e-19	0	0	0	2.4665723407332364e-18	0	0	4.003741837132153e-18	3.3379357818776243e-19	4.3141530386433164e-19	0	0	0	9.941609744885704e-20	8.098161272523267e-4	6.072186457940324e-19	7.381848103165765e-19	0	0	1.9377352352372422e-18	1.9640441619349068e-19	0	0	0	4.893604985247152e-19	2.0601905167120152e-19
T cell CD4+ central memory	6.728251790657173e-19	0	0.005707794017700586	0	1.7193292053102863e-19	0.003424564446998757	0	0.016851596103765385	6.031064647135463e-19	0	0.003313385672545539	0.004217150660054253	0.012606779533196685	0.006592583179651871	0.004111183212066255	0	0	1.2996017246667554e-18	0.005398745500963646	0.04983624725890858	1.1798565069532662e-18	1.6233048222951512e-18	0	0	0	0.020679687041811817	2.7768925486223463e-18	0.004104611428448017	0.004605138095832407	2.8604944794948052e-18	0	0	0	0.0011962799642731765	3.5876457174517605e-18	0	1.8193363925988744e-19	0	0	0
T cell CD4+ effector memory	0	0	0.01176623409618284	1.8590595174719927e-18	0.005801586189173118	0	6.55269977253271e-19	0.02019989011468421	8.005143465312382e-19	0	0.01151012640564581	0.022352215587860644	0.015342329945212594	3.854616671676533e-18	0.001200688997909114	4.455535790725106e-20	6.808199681838319e-19	0	5.512413273716193e-18	0.00777225363650114	6.0884210454622545e-19	0	2.5084984814039774e-19	0	0	0	1.5431551954109813e-17	0	0	6.674389127902614e-18	8.439103624347879e-19	1.46869220838591e-20	5.682147615827572e-20	0.012961109203793491	2.3515761836860787e-19	0	0	0	3.626543875148123e-18	0.026057838694322037
T cell CD8+ naive	0.0012368447372888272	0.012504519520429743	9.474437750206952e-20	2.1045808430951874e-21	0	3.616256742709508e-21	0.002608042523202735	0.006921899054730097	5.158960969645511e-20	0.0031903318677444234	6.328464206945649e-4	4.128159786868216e-19	0.005799173163289779	0.002068583958402503	0	1.338050483460591e-20	3.7366480233377944e-4	0.01220498509908751	0	0.006708074568825757	0.009059173709084723	0	5.861102514037547e-20	3.65509025719512e-4	0.002181826239252985	0.006725825098552483	0.0017748476177172137	0.0035633025370125607	0.013847541251335173	0.00606033000935704	0.0017054081789011119	0.0017271670451548691	0.0020270499812636102	0.0011579724989432341	0.004640282987408083	3.038427297717114e-20	6.110096902007497e-4	7.620637898224924e-20	0	9.68763347330693e-4
T cell CD8+	0.015520489460567884	0.09589707300171293	1.5519586574989495e-18	2.1526583119652914e-19	2.392395058417324e-18	0	0.013246901844094685	0.0012761708409565723	1.006713750259861e-4	0.0044140990550770535	3.562126177904322e-19	3.620264936509638e-19	0.010617148350433332	1.1030604300558525e-18	0	0	2.754458704215163e-19	0.024533566550486288	6.349118379834073e-19	0.003801646164448367	7.115207693783487e-4	0	1.416701125273233e-19	0	0.006139903178623274	0.027817407004605995	1.2461005391728348e-19	0.028904302445008273	0.018065086016971852	8.34298758093459e-4	0.005695346377144865	0.011413343358302266	0.10290655625632261	0.004897309884272653	9.656901838257882e-4	0.002620622718004762	5.0205234469312175e-19	0	8.472922952496522e-19	0.018664585913619823
T cell CD8+ central memory	0.016123046258971662	0.15019300920395376	2.0849548227361209e-19	0.006626870086424122	1.0543764910816009e-18	0.004058175345989204	0	0.0016202669310930898	1.9539780393133217e-18	0.012092783795822295	1.5276035502969698e-18	0.006175011574132729	0.026627185172705913	2.0946739464655536e-19	1.8954469032954723e-18	0.006529880100498951	0	0.014341847302440388	3.106923938311352e-18	0	8.050384264279725e-5	0	0.006087000308448237	5.280690517214315e-20	0.005355957416629202	0.05907530391599884	6.215780003851249e-19	0.010115546062999475	0.004203096477712426	0.002212888381649991	0.00534519508917614	0.07146879409832584	0.14006904045418048	1.4731426224291373e-20	0.03461838861875019	4.3135388291095465e-20	0	0.023793810193401092	0.004439061121188299	0.015674670901231768
