cell_type	X10_COMET.0145_S4_L003	X11_COMET.0151_S9_L003	X12_COMET.0169_S14_L003	X13_COMET.0172_S19_L003	X14_COMET.0182_S24_L003	X15_COMET.0190M3_S29_L003	X16_COMET.0192_S34_L003	X17_COMET.0233M2_S39_L003	X18_COMET.0255_S5_L003	X19_COMET.0272_S10_L003	X1_COMET.0003M1_S37_L003	X20_COMET.0277M1_S15_L003	X2_COMET.0005M1_S3_L003	X3_COMET.0008M2_S8_L003	X4_COMET.0027M1_S13_L003	X5_COMET.0071M1_S18_L003	X6_COMET.0111M1_S23_L003	X7_COMET.0122M2_S28_L003	X8_COMET.0134_S33_L003	X9_COMET.0138_S38_L003	X21_Lme.0015_S1_L003	X22_Lme.0017_S6_L003	X23_Lme.0027M1.1_S11_L003	X24_Lme.0033M1.2_S16_L003	X25_Lme.0042M1.2_S21_L003	X26_Lme.0047M1.2_S26_L003	X27_Lme.0067_S22_L003	X28_Lme.0072M1.2_S31_L003	X29_Lme.0078M1.1_S36_L003	X30_Lme.0081M1.1_S2_L003	X31_Lme.0087_S7_L003	X32_Lme.0095_S32_L003	X33_Lme.0098_S12_L003	X34_Lme.0101_S27_L003	X35_Lme.0110_S17_L003	X36_PC.0234M1_S20_L003	X37_PC.0256M1_S25_L003	X38_PC.0344M1_S40_L003	X39_PC.0422M1_S30_L003	X40_PC.0574M1_S35_L003
B cell	0.013573871325664112	0.005085972125598533	0.0034216208472366135	0.0035431342426296203	0.004919234602732458	0.0067440951921661765	0.006477782933284298	0.006507401788134909	0.005160166263389769	0.006872470055547866	0.013815972815534261	0.0031327801255416547	0.0054468111292823845	0.024400829128283192	0.009517183596438876	0.008293314853586609	0.01054415446094386	0.011104548869277428	0	0.00948730267684629	0.006253683847088483	0.005088461388065946	0.012512810340084089	0.005346019910684972	0.006104289395693384	0.019870736316580255	0.03168768030801145	0.00921554015649774	0.018749582674186152	0.008729296334751457	0.011226430714156299	0.011484729862781063	0.004451544946688473	0.012639963221599094	0.01711048571179217	0.009113746685032573	0.0117930549429731	0.011561994484112893	0.01701228193377322	0.023598072252151464
Macrophage M1	0.05657244839832766	0.01641971885912008	0.023759357550068697	0.006115227087688568	0.01593954627128423	0.01559370865992263	0.04101180137890056	0.023996891064294347	0.026081638035070607	0.013105036189996111	0.048081462694548126	0.0014974664600435543	0.004679600646013035	0.01435651440106671	0.014217410778824323	0.020668693242194353	0.018753787491751644	0.023206769104186918	0.03063294269126185	0.011738152517359253	0.029550561855789487	0.016969382787985803	0.026306618797012744	0.03806296715573486	0.022951758078460564	0.02421582050352441	0.03776717921383185	0.017571528799823922	0.03505377005124228	0.01915993257739537	0.008798264335068959	0.023746417372332806	0.04791790106383536	0.023098837484819255	0.05011365888084512	0.0406434379931114	0.013124874872386663	0.049102821545583535	0.03830202200828763	0.021581695596395903
Macrophage M2	0.021940777090164	0.017540722172242017	0.007467886548674469	0.0022980891952390178	0.025362600537812315	0.01849337667337856	0.015373809336935494	0.014310252928617852	0.005044518194492231	0.013747051608248155	0.00664495181503863	0.003258114385493046	0.011831865421636835	0.03162158460898467	0.005688622264851279	0.010388344836630571	0.007488446033691266	0.0031443239683802272	0.031131476958921774	0.029804980722020348	0.0034724608109393267	0.004255784363316325	0.007592748722435726	3.812051636923206e-4	0.00685187484722655	0.0035354301135617533	0.017139904585337862	0.008107391061933847	0.026421875315089938	0	0.02959711541323078	0.007051484827505027	0	0.033203045095977796	0.024125586576516873	0.0062882955358414885	0.011898959679740556	0.013172353883588717	0.03342901809590193	0.034847055750562954
Monocyte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neutrophil	0.2061351971809166	0.1846040005671757	0.2270864443553486	0.26686579316341724	0.19173772080523258	0.14354754610261866	0.24583302490229153	0.21632442609906447	0.18576955156450767	0.16224637381617774	0.28196196303243504	0.25668930572818255	0.27581423762808743	0.13729916415270108	0.15427997113495334	0.2458629651330133	0.2713441752451271	0.19022408411807556	0.297603137014698	0.18469445392123232	0.24211904288759076	0.19579982572039778	0.1780946074956833	0.2336707490313205	0.1827959437169382	0.47057399478939616	0.2225745952741384	0.2489380317424199	0.2160141836986415	0.2162882016767208	0.2327818545315076	0.17164706589402265	0.28281140086912265	0.24924013237301454	0.3564261638464763	0.21381851817585315	0.16998103203661916	0.18608485680681106	0.23316003237629376	0.10231864416621783
NK cell	0.012693867020586466	0.009821961025027588	0.025029974133627446	0.014989101610304117	0.014120327886736958	0.022281884360152725	0.007268464177734361	0.0036886445763992357	0.007162828403290953	0.02508375214383728	0.015344259693683577	0.010873587200684771	0.007988158674505252	0.01693218760154016	0.010664885282447639	0.013030065870015446	0.024654606105972282	0.004812654770494036	0.015271165190494844	0.01505976357453848	0.013494219246460248	0.011320914910238422	0.00904499775833931	0.011915417987065387	0.02893618524705404	0.010876038917058347	0.016979368489384465	0.01304989180891451	0.017986338981145104	0.013970855230436827	0.014853067732243819	0.009127042770982164	0.022014928869491288	0.018108232311315565	0.013605084575082112	0.0102481384899565	0.010500294944396117	0.008981096082198955	0.014375445636870883	0.00845734516325004
T cell CD4+ (non-regulatory)	0	0.034466707122120285	0.01911343839798669	0	0.00604171122450835	0	0.024218961536679445	0.018350400392568383	0	0	0	0	0	0	0	0	0	0.028536140143704185	0.049741767727754564	0.01973429767025201	0.005751101663802871	0.01401608703966895	0	0.033400599973354095	0	0.023134592163148546	0	0	0	0	0	0	0.010835613662630236	0	0	0.02248559541004691	0	0.0045990185664329265	0	0
T cell CD8+	0.009042281398457403	0	0	0	7.570126541501118e-4	0	0	0.011099620206939118	0.03708673476809053	0	0.008285634984323253	0.00465121649782437	0.020629822000916852	0	5.05350162645633e-4	0	0	0.0011485467857419072	0	0	3.781445044202241e-4	0	9.666367995141977e-4	0	6.892407781521407e-4	0.002221348532157305	0.026372735495862665	0.001269139448448617	0.011280959600921455	0	0.00474092521342678	0.001665520119582241	0	0.005350155457308619	0.012272453094671988	0	0	0.00456554335959971	0.007086239397293367	0.005193716154232491
T cell regulatory (Tregs)	0.02542516240477555	0.004461833958001894	0.009732853247944004	0	0.011845639628828643	0.002478958905462516	0.015274512209983796	0.005372636026220983	0.006487950547857534	0.01120991061548525	0.018635650338851138	0.0015064039835473403	7.284954734070101e-4	0.003445908762095422	0.008438697527241515	0.0072554862940768065	0.01366347186841978	0.004365660227667835	0.008379297475635922	0.003410558292600745	0.011499041648550173	0.007771183997886137	0.010733103439426095	0.007599917175330003	0.01809350804162469	0.01630350880145126	0.03420824074850208	0.013473736917925186	0.029415669892072272	0.011920814032156533	0.007362727748270562	0.009768881809083403	0.013241433569006743	0.014181451958504274	0.020640124924408476	0.014160029632444383	0.008624594528749484	0.01285630676242784	0.01669802252890341	0.01667063030528894
Myeloid dendritic cell	0	0	0	0	0	0	0.00881634437195878	0	0	0	0.0026188752292352156	0	0	0	0.002585665147765341	0.00379701529726358	0	0	0	0	0	0	0.01009069473120494	0.0027170819196333422	0	5.21117092628831e-4	0.0030921505195811868	0.0038953243906994254	0	9.043324562397608e-4	0.007685779518849621	5.513182342686284e-4	0	3.071070713954966e-4	0	0	0.003422189029478093	0	0.0013410125004884236	0.005234065619478827
